name,city,state,activitytype,Best_time_to_visit,Image_url,description,ideal_duration_hours,google_review_rating,entrance_fee_inr,airport_nearby,weekly_off,dslr_allowed
Paragliding Site,Bir Billing,Himachal Pradesh,ADVENTURE,All,https://www.pandotrip.com/wp-content/uploads/2014/05/Top-10-Paragliding-Sites-Slovenia-Photo-by-Robert-Kovacs.jpg,Paragliding Site is a well-known Adventure Sport located in Bir Billing. It is of Adventure significance.,2.0,4.8,2500,False,None,True
Triund Trek,McLeod Ganj,Himachal Pradesh,ADVENTURE,Morning,"https://ik.imagekit.io/wcarzmwtz/trekyaari-images/Triund_-_Trekyaari_26_-jY9cOl6O.jpeg?tr=w-2048,q-100",Triund Trek is a well-known Trekking located in McLeod Ganj. It is of Adventure significance.,5.0,4.8,0,True,None,True
Badrinath Temple,Badrinath,Uttarakhand,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/f/f9/Badrinath_Temple_%2C_Uttarakhand.jpg,Badrinath Temple is a well-known Temple located in Badrinath. It is of Religious significance.,1.0,4.8,0,False,None,False
Gangotri Temple,Uttarkashi,Uttarakhand,CULTURE,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/45/3b/da/the-main-temple.jpg?w=1200&h=-1&s=1,Gangotri Temple is a well-known Temple located in Uttarkashi. It is of Religious significance.,1.0,4.8,0,False,None,False
Tungnath Temple,Chopta,Uttarakhand,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tungnath_temple.jpg/640px-Tungnath_temple.jpg,Tungnath Temple is a well-known Temple located in Chopta. It is of Religious significance.,2.0,4.8,0,False,None,False
Ram Janmabhoomi,Ayodhya,Uttar Pradesh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ayodhya_Ram_Mandir_Inauguration_Day_Picture.jpg/800px-Ayodhya_Ram_Mandir_Inauguration_Day_Picture.jpg,Ram Janmabhoomi is a well-known Religious Site located in Ayodhya. It is of Religious significance.,1.0,4.8,0,True,None,False
Banke Bihari Temple,Vrindavan,Uttar Pradesh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/e/e3/Banke_Bihari_Vrindavan.jpg,Banke Bihari Temple is a well-known Temple located in Vrindavan. It is of Religious significance.,1.0,4.8,0,True,None,False
Augarnath Temple,Meerut,Uttar Pradesh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Kali_Paltan_Mandir%2C_Meerut.jpg/1200px-Kali_Paltan_Mandir%2C_Meerut.jpg,Augarnath Temple is a well-known Temple located in Meerut. It is of Religious significance.,1.0,4.8,0,True,None,False
Kargil War Memorial,Kargil,Ladakh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/c/c5/Kargilwarmemorialdarss3.jpg,Kargil War Memorial is a well-known War Memorial located in Kargil. It is of Historical significance.,1.0,4.8,0,False,None,True
Dras War Memorial,Dras,Ladakh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/c/c5/Kargilwarmemorialdarss3.jpg,Dras War Memorial is a well-known War Memorial located in Dras. It is of Historical significance.,1.0,4.8,0,False,None,True
Prem Mandir,Vrindavan,Uttar Pradesh,CULTURE,Evening,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/PremMandirSideViewFromCanteen.jpg/800px-PremMandirSideViewFromCanteen.jpg,Prem Mandir is a well-known Temple located in Vrindavan. It is of Religious significance.,1.5,4.8,0,True,None,True
Kirti Mandir,Porbandar,Uttar Pradesh,CULTURE,Morning,https://faujitoursandtravels.com/wp-content/uploads/2024/08/kirti-mandir-scaled.jpg,Kirti Mandir is a well-known Memorial located in Porbandar. It is of Historical significance.,1.0,4.8,0,True,None,True
Barsana Mandir,Mathura,Uttar Pradesh,CULTURE,Morning,https://upload.wikimedia.org/wikipedia/commons/7/74/Radharani_Temple_Barsana_2.jpg,Barsana Mandir is a well-known Temple located in Mathura. It is of Religious significance.,1.0,4.8,0,True,None,True
Brihadeeswarar Temple,Thanjavur,Tamil Nadu,CULTURE,All,https://cdn.britannica.com/66/250066-050-B34A9532/Brihadishvara-Temple-Thanjavur-Tamil-Nadu-India.jpg,Brihadeeswarar Temple is a well-known Temple located in Thanjavur. It is of Religious significance.,1.5,4.8,0,True,None,False
Buddha Park,Ravangla,Sikkim,CULTURE,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ef/73/74/awesomeness-overloaded.jpg?w=900&h=500&s=1,Buddha Park is a well-known Park located in Ravangla. It is of Cultural significance.,1.0,4.8,50,True,None,True
Radhanagar Beach,Havelock Island,Andaman and Nicobar Islands,NATURE,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/89/e9/f8/radhanagar-beach.jpg?w=900&h=500&s=1,Radhanagar Beach is a well-known Beach located in Havelock Island. It is of Nature significance.,1.0,4.8,0,False,None,True
Gurudwara Bangla Sahib,New Delhi,Delhi,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Front_view_of_Gurudwara_Bangla_Sahib%2C_Delhi.jpg/800px-Front_view_of_Gurudwara_Bangla_Sahib%2C_Delhi.jpg,Gurudwara Bangla Sahib is a well-known Gurudwara located in New Delhi. It is of Religious significance.,1.0,4.8,0,True,None,True
Kedarnath,Kedarnath,Uttarakhand,CULTURE,All,https://badrinath-kedarnath.gov.in/css_js_2024/img/kedarnath-4k.jpg,Kedarnath is a well-known Temple located in Kedarnath. It is of Religious significance.,1.5,4.8,0,False,None,False
Mahalaxmi Temple,Mumbai,Maharastra,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg,Mahalaxmi Temple is a well-known Temple located in Mumbai. It is of Religious significance.,1.0,4.7,0,True,None,False
Birla Mandir,Hyderabad,Telangana,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/3/3c/Birla_Mandir%2C_Hyderabad.png,Birla Mandir is a well-known Temple located in Hyderabad. It is of Religious significance.,1.0,4.7,0,True,None,False
Dakshineswar Kali Temple,Kolkata,West Bengal,CULTURE,Morning,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG/800px-Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG,Dakshineswar Kali Temple is a well-known Temple located in Kolkata. It is of Religious significance.,1.0,4.7,0,True,None,True
Belur Math,Kolkata,West Bengal,CULTURE,Morning,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Belur_Math%2C_Howrah.jpg/1200px-Belur_Math%2C_Howrah.jpg,Belur Math is a well-known Site located in Kolkata. It is of Religious significance.,1.5,4.7,0,True,None,True
Dwarkadhish Temple,Dwarka,Gujarat,CULTURE,Evening,https://upload.wikimedia.org/wikipedia/commons/a/a2/Dwarkadheesh_temple.jpg,Dwarkadhish Temple is a well-known Temple located in Dwarka. It is of Religious significance.,2.0,4.7,0,False,None,False
Padmanabhaswamy Temple,Thiruvananthapuram,Kerala,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/d/d2/Sree_Padmanabhaswamy_temple_01.jpg,Padmanabhaswamy Temple is a well-known Temple located in Thiruvananthapuram. It is of Religious significance.,1.0,4.7,0,True,None,False
Hampi Archaeological Ruins,Hampi,Karnataka,CULTURE,All,https://www.dailyartmagazine.com/wp-content/uploads/2020/08/stone-chariot-hampi-tourism-entry-fee-timings-holidays-reviews-header-1024x512.jpg,Hampi Archaeological Ruins is a well-known Site located in Hampi. It is of Historical significance.,3.0,4.7,0,False,None,True
Murudeshwar Temple,Murudeshwar,Karnataka,CULTURE,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/73/8a/ad/murudeshwar.jpg?w=1200&h=1200&s=1,Murudeshwar Temple is a well-known Temple located in Murudeshwar. It is of Religious significance.,1.0,4.7,0,True,None,False
Halebidu Hoysaleswara Temple,Halebidu,Karnataka,CULTURE,All,https://media.meer.com/attachments/f7d6921ad0115a039e4a410081b28c60ab3f1564/store/fill/1090/613/b732c147bc434b3a19581501d1cbdcce7757cfefe3a28a417e8e9f9c9e03/An-entrance-into-the-Hoysaleshwara-temple-in-Halebidu.jpg,Halebidu Hoysaleswara Temple is a well-known Temple located in Halebidu. It is of Religious significance.,1.0,4.7,15,False,None,False
Sai Baba Temple,Shirdi,Maharastra,CULTURE,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ab/9c/b1/shirdi-sai-baba-mandir.jpg?w=1200&h=-1&s=1,Sai Baba Temple is a well-known Temple located in Shirdi. It is of Religious significance.,1.5,4.7,0,True,None,False
Ganapatipule Temple,Ratnagiri,Maharastra,CULTURE,All,https://www.ganpatipule.co.in/images/slider/5.jpg,Ganapatipule Temple is a well-known Temple located in Ratnagiri. It is of Religious significance.,1.0,4.7,0,False,None,False
Ellora Caves,Ajanta,Maharashtra,NATURE,Afternoon,https://whc.unesco.org/uploads/thumbs/site_0243_0001-1200-630-20151104152442.jpg,Ellora Caves is a well-known Cave located in Ajanta. It is of Historical significance.,3.0,4.7,30,True,Tuesday,True
Khajuraho Group of Monuments,Khajuraho,Madhya Pradesh,CULTURE,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Khajuraho_Group_of_Monuments_4.jpg/1200px-Khajuraho_Group_of_Monuments_4.jpg,Khajuraho Group of Monuments is a well-known Temples located in Khajuraho. It is of Cultural significance.,2.0,4.7,40,False,None,True
Sanchi Stupa,Bhopal,Madhya Pradesh,HERITAGE,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG/250px-East_Gateway_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4398.JPG,Sanchi Stupa is a well-known Monument located in Bhopal. It is of Historical significance.,1.5,4.7,30,True,None,True
The Ridge,Shimla,Himachal Pradesh,RELAXATION,Morning,https://cdn.prod.website-files.com/5ebb1b2c07f0f111e4ac241c/657afea045f2033b23a92839_ridge.webp,The Ridge is a well-known Scenic Point located in Shimla. It is of Recreational significance.,1.0,4.7,0,True,None,True
Dalai Lama Temple,dalhousie,Himachal Pradesh,CULTURE,All,https://customtoursindia.com/wp-content/uploads/2024/07/Visiting-Dharamshala-Home-of-the-Dalai-Lama-in-India.webp,Dalai Lama Temple is a well-known Temple located in dalhousie. It is of Religious significance.,1.5,4.7,0,True,None,False
Barot Valley,Barot,Himachal Pradesh,NATURE,Morning,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/e7/15/ff/barot-valley-view.jpg?w=900&h=500&s=1,Barot Valley is a well-known Valley located in Barot. It is of Nature significance.,2.0,4.7,0,False,None,True
Valley of Flowers,Joshimath,Uttarakhand,NATURE,Morning,https://upload.wikimedia.org/wikipedia/commons/2/21/%28A%29_Valley_of_flowers%2C_Garhwal_Uttarakhand_India.jpg,Valley of Flowers is a well-known National Park located in Joshimath. It is of Nature significance.,5.0,4.7,150,False,None,True
Kashi Vishwanath Temple,Varanasi,Uttar Pradesh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/f/ff/Kashi_Vishwanath.jpg,Kashi Vishwanath Temple is a well-known Temple located in Varanasi. It is of Religious significance.,1.0,4.7,0,True,None,False
Krishna Janmabhoomi,Mathura,Uttar Pradesh,CULTURE,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/90/3e/20/img-20160817-122832-largejpg.jpg?w=1200&h=1200&s=1,Krishna Janmabhoomi is a well-known Temple located in Mathura. It is of Religious significance.,1.0,4.7,0,True,None,False
Vaishno Devi,Jammu,Jammu and Kashmir,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/c/c8/Vaishno_devi.jpg,Vaishno Devi is a well-known Temple located in Jammu. It is of Religious significance.,5.0,4.7,0,True,None,False
Thiksey Monastery,Leh,Ladakh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/e/e5/Thikse_Monastery_.jpg,Thiksey Monastery is a well-known Monastery located in Leh. It is of Religious significance.,1.5,4.7,20,True,None,False
Thiksey Monastery,Leh,Ladakh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/e/e5/Thikse_Monastery_.jpg,Thiksey Monastery is a well-known Monastery located in Leh. It is of Religious significance.,1.5,4.7,30,True,None,False
Diskit Monastery,Diskit,Ladakh,CULTURE,Morning,https://upload.wikimedia.org/wikipedia/commons/1/16/Diskit_Gompa_2.jpg,Diskit Monastery is a well-known Monastery located in Diskit. It is of Religious significance.,1.0,4.7,20,False,None,False
Thiksey Monastery,Leh,Ladakh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/e/e5/Thikse_Monastery_.jpg,Thiksey Monastery is a well-known Monastery located in Leh. It is of Religious significance.,1.5,4.7,20,True,None,False
Thiksey Monastery,Leh,Ladakh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/e/e5/Thikse_Monastery_.jpg,Thiksey Monastery is a well-known Monastery located in Leh. It is of Religious significance.,1.5,4.7,30,True,None,False
Kankalitala Temple,Bolpur,West Bengal,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/4/4e/Kankalitala_Temple_complex%2C_Birbhum%2C_West_Bengal_05.jpg,Kankalitala Temple is a well-known Temple located in Bolpur. It is of Religious significance.,0.5,4.7,0,True,None,False
Jagannath Temple,Puri,Odisha,CULTURE,All,http://pujacraft.com/cdn/shop/articles/PTI04_24_2021_000120A_1619272465136_1641572422757.webp?v=1686066690,Jagannath Temple is a well-known Temple located in Puri. It is of Religious significance.,2.0,4.7,0,True,None,False
Sun Temple,Konark,Odisha,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/4/47/Konarka_Temple.jpg,Sun Temple is a well-known Temple located in Konark. It is of Historical significance.,1.5,4.7,40,True,None,True
Meenakshi Amman Temple,Madurai,Tamil Nadu,CULTURE,All,https://lookaside.instagram.com/seo/google_widget/crawler/?media_id=3539467584758186787,Meenakshi Amman Temple is a well-known Temple located in Madurai. It is of Religious significance.,2.0,4.7,0,True,None,False
Marudamalai Temple,Coimbatore,Tamil Nadu,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/4/46/Maruthamalai_Rajagopuram_1.jpg,Marudamalai Temple is a well-known Temple located in Coimbatore. It is of Religious significance.,1.0,4.7,0,True,None,False
Nataraja Temple,Chidambaram,Tamil Nadu,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/4/44/Le_temple_de_Shiva_Nataraja_%28Chidambaram%2C_Inde%29_%2814037020332%29.jpg,Nataraja Temple is a well-known Temple located in Chidambaram. It is of Religious significance.,1.0,4.7,0,True,None,False
Kanaka Durga Temple,Vijayawada,Andhra Pradesh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/b/ba/Kanakadurga_Temple_gopuram.jpg,Kanaka Durga Temple is a well-known Temple located in Vijayawada. It is of Religious significance.,1.0,4.7,0,True,None,False
Mallikarjuna Swamy Temple,Srisailam,Andhra Pradesh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/c/c0/Srisailam.jpg,Mallikarjuna Swamy Temple is a well-known Temple located in Srisailam. It is of Religious significance.,1.0,4.7,0,False,None,False
Amaravathi Temple,Amravati,Andhra Pradesh,CULTURE,All,https://s7ap1.scene7.com/is/image/incredibleindia/amaralingeshwara-temple-amaravati-andhra-pradesh-1-attr-hero?qlt=82&ts=1726743722820,Amaravathi Temple is a well-known Temple located in Amravati. It is of Religious significance.,1.0,4.7,0,True,None,False
Prasanthi Nilayam,Puttaparthi,Andhra Pradesh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/d/da/Sri_Sathya_Sai_Baba_Mahasamadhi_at_Sai_Kulwant_Hall.jpg,Prasanthi Nilayam is a well-known Spiritual Center located in Puttaparthi. It is of Religious significance.,1.0,4.7,0,True,None,True
Simhachalam Temple,Vizianagaram,Andhra Pradesh,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/1/18/Simhachalam_temple_from_a_hilltop.jpg,Simhachalam Temple is a well-known Temple located in Vizianagaram. It is of Religious significance.,1.0,4.7,0,True,None,False
Char Dham,Namchi,Sikkim,CULTURE,All,https://www.dealswithai.com/assets/images/2024-05-29-02-01-11-Chardham-Yatra.jpg,Char Dham is a well-known Religious Complex located in Namchi. It is of Religious significance.,2.0,4.7,50,True,None,False
Sivasagar Sivadol,Sivasagar,Assam,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/7/79/Siva_Dol.JPG,Sivasagar Sivadol is a well-known Temple located in Sivasagar. It is of Historical significance.,1.0,4.7,0,False,None,True
Majuli Island,Majuli,Assam,CULTURE,Morning,https://upload.wikimedia.org/wikipedia/commons/c/cb/Doriya_River_of_Majuli.jpg,Majuli Island is a well-known River Island located in Majuli. It is of Cultural significance.,2.0,4.7,0,False,None,True
Tawang Monastery,Tawang,Arunachal Pradesh,CULTURE,Morning,https://upload.wikimedia.org/wikipedia/commons/2/2a/Tawang_Monastery_%28Tibetan_Buddhist%29.jpg,Tawang Monastery is a well-known Monastery located in Tawang. It is of Religious significance.,2.0,4.7,0,False,None,False
Cellular Jail,Port Blair,Andaman and Nicobar Islands,CULTURE,Afternoon,https://upload.wikimedia.org/wikipedia/commons/f/fe/Front_View_of_Cellular_Jail%2C_Port_Blair.JPG,Cellular Jail is a well-known Landmark located in Port Blair. It is of Historical significance.,1.5,4.7,30,True,Monday,True
Baba Baidyanath Temple,Deoghar,Jharkhand,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/e/e2/Baba_Dham.jpg,Baba Baidyanath Temple is a well-known Temple located in Deoghar. It is of Religious significance.,1.0,4.7,0,True,None,True
Mahabodhi Temple,Bodh Gaya,Bihar,CULTURE,All,https://whc.unesco.org/uploads/thumbs/site_1056_0001-750-750-20120601152647.jpg,Mahabodhi Temple is a well-known Temple located in Bodh Gaya. It is of Religious significance.,1.5,4.7,0,True,None,True
Takhat Shri Harimandir Ji Patna Sahib,Patna,Bihar,CULTURE,All,https://tourism.bihar.gov.in/content/dam/bihar-tourism/images/category_a/patna/takht_sri_harmandir_sahib/20.%20Takhat-Sri-Harimandir-Ji.jpg/jcr:content/renditions/cq5dam.web.480.480.jpeg,Takhat Shri Harimandir Ji Patna Sahib is a well-known Gurudwara located in Patna. It is of Religious significance.,1.0,4.7,0,True,None,True
DLF CyberHub,Gurugram,Haryana,CULTURE,Afternoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b8/e2/a4/photo5jpg.jpg?w=1200&h=-1&s=1,DLF CyberHub is a well-known Commercial Complex located in Gurugram. It is of Entertainment significance.,2.0,4.7,0,True,None,True
Ramanathaswamy Temple,Rameswaram,Tamil Nadu,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ramanathaswamy_temple7.JPG/1200px-Ramanathaswamy_temple7.JPG,Ramanathaswamy Temple is a well-known Temple located in Rameswaram. It is of Religious significance.,1.5,4.7,0,True,None,False
Ramanathaswamy Temple,Rameswaram,Tamil Nadu,CULTURE,All,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ramanathaswamy_temple7.JPG/1200px-Ramanathaswamy_temple7.JPG,Ramanathaswamy Temple is a well-known Temple located in Rameswaram. It is of Religious significance.,1.5,4.6,0,False,None,False
India Gate,Delhi,Delhi,CULTURE,Evening,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/India_Gate_on_the_evening_of_77th_Independence_day.jpg/640px-India_Gate_on_the_evening_of_77th_Independence_day.jpg,India Gate is a well-known War Memorial located in Delhi. It is of Historical significance.,0.5,4.6,0,True,None,True
Akshardham Temple,Delhi,Delhi,CULTURE,Afternoon,https://i0.wp.com/singhruby.com/wp-content/uploads/2016/01/akshardham_facts_and_figure_banner.jpg,Akshardham Temple is a well-known Temple located in Delhi. It is of Religious significance.,5.0,4.6,60,True,None,False
Sunder Nursery,Delhi,Delhi,CULTURE,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Sunder_Nursery_Sep-2019.jpg/1200px-Sunder_Nursery_Sep-2019.jpg,Sunder Nursery is a well-known Park located in Delhi. It is of Botanical significance.,2.0,4.6,0,True,None,True
Gateway of India,Mumbai,Maharastra,HERITAGE,All,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mumbai_03-2016_30_Gateway_of_India.jpg/800px-Mumbai_03-2016_30_Gateway_of_India.jpg,Gateway of India is a well-known Monument located in Mumbai. It is of Historical significance.,1.0,4.6,0,True,None,True
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,Maharastra,HERITAGE,All,https://upload.wikimedia.org/wikipedia/commons/7/79/Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya.jpg,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya is a well-known Museum located in Mumbai. It is of Historical significance.,1.0,4.6,500,True,None,True
Vidhana Soudha,Bangalore,Karnataka,CULTURE,Morning,https://upload.wikimedia.org/wikipedia/commons/1/11/Vidhana_Soudha%2C_14_February_2022_-_cropped.jpg,Vidhana Soudha is a well-known Government Building located in Bangalore. It is of Architectural significance.,0.5,4.6,0,True,None,False
ISKCON Temple Bangalore,Bangalore,Karnataka,CULTURE,Evening,https://upload.wikimedia.org/wikipedia/commons/1/11/ISKCON_Banglaore_Temple.jpg,ISKCON Temple Bangalore is a well-known Temple located in Bangalore. It is of Religious significance.,1.0,4.6,0,True,None,True
Victoria Memorial,Kolkata,West Bengal,HERITAGE,Morning,https://upload.wikimedia.org/wikipedia/commons/7/72/Victoria_Memorial_situated_in_Kolkata.jpg,Victoria Memorial is a well-known Museum located in Kolkata. It is of Historical significance.,1.5,4.6,30,True,Monday,True
Howrah Bridge,Kolkata,West Bengal,CULTURE,Anytime,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Howrah_bridge_at_night.jpg/1200px-Howrah_bridge_at_night.jpg,Howrah Bridge is a well-known Bridge located in Kolkata. It is of Architectural significance.,0.5,4.6,0,True,None,False
Indian Museum,Kolkata,West Bengal,HERITAGE,Morning,https://upload.wikimedia.org/wikipedia/commons/8/8c/Indian_Museum%2C_Courtyard%2C_Kolkata%2C_India.jpg,Indian Museum is a well-known Museum located in Kolkata. It is of Historical significance.,2.0,4.6,50,True,Monday,True
Dudhsagar Falls,Goa,Goa,NATURE,Afternoon,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Doodhsagar_Fall.jpg/1200px-Doodhsagar_Fall.jpg,Dudhsagar Falls is a well-known Waterfall located in Goa. It is of Nature significance.,3.0,4.6,500,True,None,True
Arambol Beach,Goa,Goa,NATURE,Evening,https://upload.wikimedia.org/wikipedia/commons/a/ab/Arambol_2022-01-04-2.jpg,Arambol Beach is a well-known Beach located in Goa. It is of Scenic significance.,2.0,4.6,0,True,None,True
Palolem Beach,Goa,Goa,NATURE,Evening,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg,Palolem Beach is a well-known Beach located in Goa. It is of Scenic significance.,2.0,4.6,0,True,None,True
Sabarmati Ashram,Ahmedabad,Gujarat,CULTURE,Morning,https://upload.wikimedia.org/wikipedia/commons/9/9a/GANDHI_ASHRAM_03.jpg,Sabarmati Ashram is a well-known Historical located in Ahmedabad. It is of Historical significance.,1.5,4.6,0,True,None,True
White Desert,Bhuj,Gujarat,NATURE,Evening,https://upload.wikimedia.org/wikipedia/commons/4/4a/Al_Farafrah%2C_New_Valley_Governorate%2C_Egypt_-_panoramio_%2821%29.jpg,White Desert is a well-known Site located in Bhuj. It is of Nature significance.,2.5,4.6,0,True,None,True
Statue of Unity,Kevadia,Gujarat,HERITAGE,All,https://upload.wikimedia.org/wikipedia/commons/0/07/Statue_of_Unity.jpg,Statue of Unity is a well-known Monument located in Kevadia. It is of Historical significance.,3.0,4.6,350,False,Monday,True
Sabarmati Riverfront,Ahmedabad,Gujarat,RELAXATION,Evening,https://upload.wikimedia.org/wikipedia/commons/d/d0/Sabarmati_1_Madhur.jpg,Sabarmati Riverfront is a well-known Urban Development Project located in Ahmedabad. It is of Recreational significance.,1.0,4.6,0,True,None,True
